"","Country","City","Name","Link","Logo","Description","place","lon","lat"
"48","China","Nanjing","Nanjing University of Aeronautics and Astronautics","http://iao.nuaa.edu.cn/",NA,NA,"Nanjing, China",118.79647,32.0583799
"49","China","Ningbo","Ningbo University of Technology","https://en.nit.net.cn/",NA,NA,"Ningbo, China",121.54399,29.868336
"50","China","Baoding","North China Electric Power University","http://en.ncepu.edu.cn/",NA,NA,"Baoding, China",115.46459,38.8739599
"51","China","Beijing","Peking University","https://english.pku.edu.cn/",NA,NA,"Beijing, China",116.407395,39.904211
"52","China","Beijing","Renmin University of China","https://en.ruc.edu.cn/",NA,NA,"Beijing, China",116.407395,39.904211
"53","China",NA,"School of Economics and Management, Tonji University (SEM)","https://sem.tongji.edu.cn/",NA,NA,"NA, China",104.195397,35.86166
"54","China","Zibo","Shandong University of Technology","https://www.sejong.ac.kr/eng/",NA,NA,"Zibo, China",118.0548,36.8130999
"55","China","Shanghai","Shanghai Jiao Tong University","https://en.sjtu.edu.cn/",NA,NA,"Shanghai, China",121.473701,31.230416
"56","China","Shanghai","Shanghai Maritime University","https://www.shmtu.edu.cn/",NA,NA,"Shanghai, China",121.473701,31.230416
"57","China","Shanghai","Shanghai University of Engineering Science","http://www.sues.edu.cn/english/",NA,NA,"Shanghai, China",121.473701,31.230416
"58","China","Shanghai","Shanghai University of Finance and Economics","https://en.shufe.edu.cn/",NA,NA,"Shanghai, China",121.473701,31.230416
"59","China","Guangzhou","South China Normal University",NA,NA,NA,"Guangzhou, China",113.26436,23.1290799
"60","China","Nanjing","Southeast University",NA,NA,NA,"Nanjing, China",118.79647,32.0583799
"61","China","Tianjin","Tianjin University",NA,NA,NA,"Tianjin, China",117.19937,39.0850999
"62","China","Shanghai","Tongji University",NA,NA,NA,"Shanghai, China",121.473701,31.230416
"63","China","Beijing","Tsinghua University",NA,NA,NA,"Beijing, China",116.407395,39.904211
"64","China","Beijing","University of Science and Technology Beijing",NA,NA,NA,"Beijing, China",116.407395,39.904211
"65","China","Hefei","University of Science and Technology of China (USTC)",NA,NA,NA,"Hefei, China",117.22901,31.8205699
"66","China","Weifang","Weifang Medical University",NA,NA,NA,"Weifang, China",119.16176,36.7068599
"67","China","Wuhan","Wuhan University",NA,NA,NA,"Wuhan, China",114.30525,30.5927599
"68","China","Xi'an","Xi'an University of Architecture and Technology",NA,NA,NA,"Xi'an, China",108.9540936,34.2658138
"69","China","Xi'an, Shaanxi","Xi'an University of Technology",NA,NA,NA,"Xi'an, Shaanxi, China",108.9540936,34.2658138
"70","China","Xiamen","Xiamen university",NA,NA,NA,"Xiamen, China",118.0894799,24.4795099
"71","China","Xi'an","Xidian University",NA,NA,NA,"Xi'an, China",108.9540936,34.2658138
"72","China","Yulin","Yulin University",NA,NA,NA,"Yulin, China",110.18098,22.6545099
"73","China","Hangzhou","Zhejiang University",NA,NA,NA,"Hangzhou, China",120.15515,30.2741499
"74","Croatia","Rijeka","PAR University College","https://www.par.hr/",NA,NA,"Rijeka, Croatia",14.442176,45.3270631
"75","Czech Republic","Zlin","Footwear Research Centre - Tomas Bata University","http://frc.utb.cz/en/",NA,NA,"Zlin, Czech Republic",17.6627635,49.2244365
"76","Egypt","Cairo","American University in Cairo","https://www.aucegypt.edu/",NA,"Global Engineering Education Exchange,an international education program aimed at providing engineerng students with practical and acdemic skills needed in the global world","Cairo, Egypt",31.2357116,30.0444196
"77","France",NA,"University of Bordeaux",NA,NA,NA,"NA, France",2.213749,46.227638
"78","Germany","Oldenburg","Carl Von Ossietzky University Oldenburg","https://uol.de/",NA,"deterioration mechanism and spatial time dependent reliability assessment of reinforced concrete and prestressed concrete beam bridges","Oldenburg, Germany",8.2145521,53.1434501
"79","Germany",NA,"Hamburg University of Applied Sciences",NA,NA,NA,"NA, Germany",10.451526,51.165691
"80","Germany","Bremen","Jacobs University","https://www.jacobs-university.de/",NA,NA,"Bremen, Germany",8.8016937,53.0792962
"81","Germany",NA,"Saarland University","https://www.uni-saarland.de/en/home.html",NA,NA,"NA, Germany",10.451526,51.165691
"82","Germany","Dortmund","Technical University Dortmund","https://www.tu-dortmund.de/",NA,"opportunities for joint research,exchange of graduate and undergraduate students,exchange of publications,academic materials,joint quality assurance and benchmarking,75 million Euros for the university alliance Ruhr for new Research centers,Iacoccca internship,Global Entrepreneurship Research,Entrepreneurship and innovation consortium.","Dortmund, Germany",7.4652981,51.5135872
"83","Germany",NA,"University of Vechta",NA,NA,NA,"NA, Germany",10.451526,51.165691
"84","Ghana","Accra","Ashesi University","https://www.ashesi.edu.gh/",NA,"networking,research collaborations and partnerships","Accra, Ghana",-0.1869644,5.6037168
"85","Ghana","Kumasi","Kwame Nkrumah University of Science and Technology","https://www.knust.edu.gh/",NA,NA,"Kumasi, Ghana",-1.6162709,6.6666004
"86","Ghana","Cape Coast","University of Cape Coast",NA,NA,NA,"Cape Coast, Ghana",-1.2794744,5.13151
"87","Ghana","Accra","University of Ghana",NA,NA,NA,"Accra, Ghana",-0.1869644,5.6037168
"88","Ghana","Accra","University of Ghana Business School",NA,NA,NA,"Accra, Ghana",-0.1869644,5.6037168
"89","Greece","Athens","Athens University of Economics and Business","https://www.aueb.gr/en",NA,"research,collaboraton,links between deforestation and malaria problem in developing nations research","Athens, Greece",23.7275388,37.9838096
"90","Greece","Athens","University of Athens",NA,NA,NA,"Athens, Greece",23.7275388,37.9838096
"91","Greece","Heraklion","University of Crete",NA,NA,NA,"Heraklion, Greece",25.1442126,35.3387352
"92","Hong Kong","Hong Kong","Chinese University of Hong Kong","https://www.cuhk.edu.hk/",NA,"engineering student exchange,reseearch collaboration","Hong Kong, Hong Kong",114.1693611,22.3193039
"93","Hong Kong",NA,"Education University of Hong Kong","https://www.eduhk.hk/en/",NA,NA,"NA, Hong Kong",114.1693611,22.3193039
"94","Hong Kong","Hung Hom","Hong Kong Polytechnic University","https://www.polyu.edu.hk/web/en/home/index.html",NA,NA,"Hung Hom, Hong Kong",114.1887233,22.3055658
"95","Hong Kong",NA,"Hong Kong University of Science and Engineering Business","https://www.business.ust.hk/",NA,NA,"NA, Hong Kong",114.1693611,22.3193039
"96","Hong Kong",NA,"Hong Kong University of Science and Technology","https://www.ust.hk/",NA,NA,"NA, Hong Kong",114.1693611,22.3193039
"97","Hong Kong","Hong Kong","Hong Kong University of Science and Technology Engineering","https://www.seng.ust.hk/",NA,NA,"Hong Kong, Hong Kong",114.1693611,22.3193039
"98","Hong Kong",NA,"Hong Kong University of Science and Technology Entrepreneurship Center","https://entrepreneurship.ust.hk/",NA,NA,"NA, Hong Kong",114.1693611,22.3193039
"99","Hong Kong","Hong Kong","Lingnan University","https://www.ln.edu.hk/",NA,NA,"Hong Kong, Hong Kong",114.1693611,22.3193039
"100","Hong Kong",NA,"The University of Hong Kong",NA,NA,NA,"NA, Hong Kong",114.1693611,22.3193039
"101","Hong Kong","Hong Kong","University of Hong Kong",NA,NA,NA,"Hong Kong, Hong Kong",114.1693611,22.3193039
"102","India","Haryana ","Ashoka University","https://www.ashoka.edu.in/",NA,"Lehigh University and Ashoka University have a formal partnership that began in 2020. The partnership involves collaboration in areas such as academic exchange, research, and innovation. Through this partnership, faculty and students from both universities have the opportunity to participate in joint academic programs and research projects. The partnership also aims to promote cultural exchange and understanding between the United States and India. Additionally, Lehigh University and Ashoka University have signed a Memorandum of Understanding (MOU) to establish a joint initiative called the ""Institute for Sustainable Infrastructure and Development"" (ISID), which will focus on developing sustainable infrastructure solutions for India and other countries.","Haryana , India",76.085601,29.0587757
"103","India","Delhi","Delhi Technological University","http://dtu.ac.in/",NA,NA,"Delhi, India",77.1024902,28.7040592
"104","India","New Delhi","Jawaharlal Nehru University","https://www.jnu.ac.in/",NA,NA,"New Delhi, India",77.2090212,28.6139391
"105","India","Gota, Ahmedabad, Gujarat","Nirma University","https://nirmauni.ac.in/",NA,NA,"Gota, Ahmedabad, Gujarat, India",72.5407052,23.1012966
"106","India","Gujarat","Pandit Deendayal Petroleum University","https://www.pdpu.ac.in/",NA,NA,"Gujarat, India",71.5723953,22.6708317
"107","India","Gachibowli, Hyderabad, Telangana","University of Hyderabad",NA,NA,NA,"Gachibowli, Hyderabad, Telangana, India",78.3489168,17.4400802
"108","Indonesia","Bogor","Institut Pertanian Bogor - Bogor Agricultural University","https://www.ipb.ac.id/",NA,NA,"Bogor, Indonesia",106.8060388,-6.5971469
"109","Iran",NA,"Bu-Ali Sina University","https://basu.ac.ir/en/home",NA,NA,"NA, Iran",53.688046,32.427908
"110","Iran","Tabriz","Sahand University of Technology","https://sut.ac.ir/en/",NA,NA,"Tabriz, Iran",46.2886732,38.0791831
"111","Iran","Tehran","Sharif University of Technology","https://en.sharif.edu/",NA,NA,"Tehran, Iran",51.3346954,35.7218583
"112","Ireland","Galway","Ollscoil na Gaillimhe - University of Galway","https://www.nuigalway.ie/",NA,NA,"Galway, Ireland",-9.0512662,53.274001
"113","Ireland","Cork","University College Cork",NA,NA,NA,"Cork, Ireland",-8.4756035,51.8985143
"114","Ireland","Dublin","University College Dublin",NA,NA,NA,"Dublin, Ireland",-6.2603097,53.3498053
"115","Ireland","Limerick","University of Limerick",NA,NA,NA,"Limerick, Ireland",-8.6267299,52.663839
"116","Israel","Ramat Gan","Bar-Ilan University","https://www.biu.ac.il/en",NA,"research, on-camous engagement,visiting scholar in Chemistry in 2016,network","Ramat Gan, Israel",34.824785,32.068424
"117","Israel","Tel Aviv","Tel Aviv University",NA,NA,NA,"Tel Aviv, Israel",34.7817676,32.0852999
"118","Italy","Roma","John Cabot University",NA,NA,NA,"Roma, Italy",12.4963655,41.9027835
"119","Japan","Tokyo","Hitotsubashi University","http://www.hit-u.ac.jp/eng/",NA,NA,"Tokyo, Japan",139.6503106,35.6761919
"120","Japan","Sapporo","Hokkaido University","https://www.global.hokudai.ac.jp/",NA,NA,"Sapporo, Japan",141.3544506,43.0617713
"121","Japan","https://www.kanazawa-u.ac.jp/e/","Kanazawa University","https://www.kanazawa-u.ac.jp/e/",NA,NA,"https://www.kanazawa-u.ac.jp/e/, Japan",136.6566475,36.5610309
"122","Japan","Hirakata","Kansai Gaidai University","https://www.kansaigaidai.ac.jp/asp/index.asp?lang=en",NA,NA,"Hirakata, Japan",135.6511362,34.8147385
"123","Japan","Tokyo","Keio University","https://www.keio.ac.jp/en/",NA,NA,"Tokyo, Japan",139.6503106,35.6761919
"124","Japan",NA,"Kochi University of Technology","https://www.kochi-tech.ac.jp/english/",NA,NA,"NA, Japan",138.252924,36.204824
"125","Japan","Kyoto","Kyoto University","https://www.kyoto-u.ac.jp/en",NA,NA,"Kyoto, Japan",135.7681489,35.011564
"126","Japan","Fukuoka","Kyushu University","https://www.kyushu-u.ac.jp/en/",NA,NA,"Fukuoka, Japan",130.4016888,33.5901838
"127","Japan","Chiba","Meikei University","https://www.meikei.ac.jp/en/",NA,NA,"Chiba, Japan",140.1065366,35.6074041
"128","Japan","Nara","Nara Women's University","https://www.nara-wu.ac.jp/english/",NA,NA,"Nara, Japan",135.8048019,34.685109
"129","Japan","Tokyo","Nihon University","https://www.nihon-u.ac.jp/en/",NA,NA,"Tokyo, Japan",139.6503106,35.6761919
"130","Japan","Okayama","Okayama University","https://www.okayama-u.ac.jp/",NA,NA,"Okayama, Japan",133.919795,34.6555312
"131","Japan","Osaka","Osaka University","https://www.osaka-u.ac.jp/en",NA,NA,"Osaka, Japan",135.5022535,34.6937249
"132","Japan","Kyoto","Ritsumeikan University","https://en.ritsumei.ac.jp/",NA,NA,"Kyoto, Japan",135.7681489,35.011564
"133","Japan","Okayama","Sanyo Gakuen University","https://www.sanyo-u.ac.jp/en/",NA,NA,"Okayama, Japan",133.919795,34.6555312
"134","Japan","Sendai","Tohoku University",NA,NA,NA,"Sendai, Japan",140.869418,38.268195
"135","Japan","Tokyo","Toyo University",NA,NA,NA,"Tokyo, Japan",139.6503106,35.6761919
"136","Japan","Tokyo","Waseda University",NA,NA,NA,"Tokyo, Japan",139.6503106,35.6761919
"137","Kazakhstan","Almaty","Al-Farabi Kazakh National University","https://www.kaznu.kz/en/",NA,"2019 Joint Humanitarian Entreprenuership Summer Academy","Almaty, Kazakhstan",76.8512485,43.2220146
"138","Kazakhstan","Almaty","Almaty Management University (ALMA)",NA,NA,NA,"Almaty, Kazakhstan",76.8512485,43.2220146
"139","Kazakhstan","Almaty","Kazakh University of International Relations and World Languages","https://www.kaznu.kz/en/16228/",NA,NA,"Almaty, Kazakhstan",76.8512485,43.2220146
"140","Kazakhstan","Kaskelen","Suleyman Demirel University",NA,NA,NA,"Kaskelen, Kazakhstan",76.633987,43.1999882
"141","Kenya","Nairobi","University of Nairobi",NA,NA,NA,"Nairobi, Kenya",36.8219462,-1.2920659
"142","Korea, Republic of","Pohang","Handong Global University","https://www.handong.edu/en/",NA,NA,"Pohang, Korea, Republic of",129.3052666,36.0929227
"143","Korea, Republic of","Seoul","Hanyang University","http://www.hanyang.ac.kr/web/eng",NA,NA,"Seoul, Korea, Republic of",126.9917937,37.5518911
"144","Korea, Republic of",NA,"Jeonju University","https://www.jju.ac.kr/",NA,NA,"NA, Korea, Republic of",127.766922,35.907757
"145","Korea, Republic of","Seoul","Korea University","https://www.korea.edu/",NA,NA,"Seoul, Korea, Republic of",126.9917937,37.5518911
"146","Korea, Republic of","Seoul","Sejong University","https://www.sejong.ac.kr/eng/",NA,NA,"Seoul, Korea, Republic of",126.9917937,37.5518911
"147","Korea, Republic of","Seoul","Sogang University",NA,NA,NA,"Seoul, Korea, Republic of",126.9917937,37.5518911
"148","Korea, Republic of","Gyeongsan","Yeungnam University",NA,NA,NA,"Gyeongsan, Korea, Republic of",128.8090748,35.8337972
"149","Korea, Republic of","Seoul","Yonsei University",NA,NA,NA,"Seoul, Korea, Republic of",126.9917937,37.5518911
"150","Kyrgyzstan","Osh","Osh Technological University","https://otu.edu.kg/en/",NA,NA,"Osh, Kyrgyzstan",72.8160976,40.5139985
"151","Mongolia","Ulan Bator","Mongolian University of Science and Technology","http://www.must.edu.mn/en/",NA,NA,"Ulan Bator, Mongolia",106.9057439,47.8863988
"152","Mongolia",NA,"New - Test University",NA,NA,NA,"NA, Mongolia",103.846656,46.862496
"153","Namibia","Windhoek","Namibia University of Science and Technology","https://www.nust.na/",NA,NA,"Windhoek, Namibia",17.0657549,-22.5608807
"154","Namibia","Windhoek","University of Namibia",NA,NA,NA,"Windhoek, Namibia",17.0657549,-22.5608807
"155","Netherlands",NA,"Eindhoven University of Technology","https://www.tue.nl/en/",NA,NA,"NA, Netherlands",5.291266,52.132633
"156","Netherlands",NA,"The University Industry Innovation Network",NA,NA,NA,"NA, Netherlands",5.291266,52.132633
"157","Netherlands","Tilburg","Tilburg University",NA,NA,NA,"Tilburg, Netherlands",5.056375,51.5852528
"158","Netherlands","Wageningen","Wageningen University",NA,NA,NA,"Wageningen, Netherlands",5.6584157,51.9812239
"159","New Zealand","Auckland","University of Auckland",NA,NA,NA,"Auckland, New Zealand",174.7644881,-36.8508827
"160","New Zealand","Dunedin","University of Otago",NA,NA,NA,"Dunedin, New Zealand",170.5005957,-45.8795455
"161","Peru","Santiago de Surco","Esan University","https://www.esan.edu.pe/",NA,NA,"Santiago de Surco, Peru",-76.9918155,-12.1416088
"162","Philippines","Quezon City","University of the Philippines Diliman",NA,NA,NA,"Quezon City, Philippines",121.0437003,14.6760413
"163","Romania","Ia_i,","Technical University of Iasi, Romania",NA,NA,NA,"Ia_i,, Romania",27.6014418,47.1584549
"164","Russian Federation","Kazan","Kazan National Research Technological University","https://kai.ru/en/",NA,NA,"Kazan, Russian Federation",49.1233293,55.7878944
"165","Russian Federation","Perm","Perm State University","https://en.psu.ru/",NA,NA,"Perm, Russian Federation",56.2269674,58.0091683
"166","Rwanda","Kigali","University of Tourism Technology and Business Studies (UTB)",NA,NA,NA,"Kigali, Rwanda",30.0618851,-1.9440727
"167","Saudi Arabia","Thuwal","King Abdullah University of Science and Technology","https://www.kaust.edu.sa/en",NA,NA,"Thuwal, Saudi Arabia",39.1132757,22.2756562
"168","Saudi Arabia","Dammam","King Fahd University of Petroleum and Minerals","https://www.kfupm.edu.sa/",NA,NA,"Dammam, Saudi Arabia",50.0887943,26.4206828
"169","Singapore","Singapore","Nanyang Technological University","https://www.ntu.edu.sg/",NA,NA,"Singapore, Singapore",103.819836,1.352083
"170","Singapore","Singapore","National University of Singapore","https://www.nus.edu.sg/",NA,NA,"Singapore, Singapore",103.819836,1.352083
"171","Singapore","Singapore","Singapore Management University","https://www.smu.edu.sg/",NA,NA,"Singapore, Singapore",103.819836,1.352083
"172","Singapore","Singapore","Singapore University of Technology and Design","https://www.sutd.edu.sg/",NA,NA,"Singapore, Singapore",103.819836,1.352083
"173","Slovenia","Ljubjana","Ljubljana University","https://www.uni-lj.si/",NA,NA,"Ljubjana, Slovenia",14.5057515,46.0569465
"174","South Africa","Stellenbosch","Stellenbosch University","https://www.sun.ac.za/english/Pages/default.aspx",NA,NA,"Stellenbosch, South Africa",18.860152,-33.9321045
"175","South Africa","Johannesburg","University of the Witwatersrand",NA,NA,NA,"Johannesburg, South Africa",28.0473051,-26.2041028
"176","Spain","Huelva","University of Huelva",NA,NA,NA,"Huelva, Spain",-6.9427327,37.2619585
"177","Spain","Zaragoza","University of Zaragoza",NA,NA,NA,"Zaragoza, Spain",-0.8890853,41.6488226
"178","Thailand","Chiang Mai","Chiang Mai University","https://www.cmu.ac.th/en/",NA,"visiting scholar in material science 2018,research opportunitues,staying,collaboration","Chiang Mai, Thailand",98.9853008,18.7883439
"179","Uganda","Kampala","Makerere University","https://mak.ac.ug/",NA,NA,"Kampala, Uganda",32.5825197,0.3475964
"180","Uganda","Mukono","Uganda Christian University",NA,NA,NA,"Mukono, Uganda",32.7520139,0.3548655
"181","United Arab Emirates","Sharjah","American University of Sharjah","https://www.aus.edu/",NA,NA,"Sharjah, United Arab Emirates",55.4210932,25.3461555
"182","United Arab Emirates","Abu Dhabi","Khalifa University of Science and Technology (KU)","https://www.kaust.edu.sa/en",NA,NA,"Abu Dhabi, United Arab Emirates",54.3773438,24.453884
"183","United Kingdom","Cardiff","Cardiff University","https://www.cardiff.ac.uk/",NA,"faculty grant for international connections in Wales 2013,research-gold -lead separation enhances the bimetallic catalysis of alcohol oxidation","Cardiff, United Kingdom",-3.1680962,51.483707
"184","United Kingdom","Newcastle-Upon-Tyne","Newcastle University","https://www.ncl.ac.uk/",NA,NA,"Newcastle-Upon-Tyne, United Kingdom",-1.61778,54.978252
"185","United Kingdom","Newcastle-Upon-Tyne","Northumbria University, Newcastle","https://www.northumbria.ac.uk/",NA,NA,"Newcastle-Upon-Tyne, United Kingdom",-1.61778,54.978252
"186","United Kingdom","Camden Town","Open University","https://www.open.ac.uk/",NA,NA,"Camden Town, United Kingdom",-0.1425516,51.5390261
"187","United Kingdom","London","Queen Mary University of London","https://www.qmul.ac.uk/",NA,NA,"London, United Kingdom",-0.1275862,51.5072178
"188","United Kingdom","Belfast","Queen's University Belfast","https://www.qub.ac.uk/",NA,NA,"Belfast, United Kingdom",-5.93012,54.597285
"189","United Kingdom","Cirencester","Royal Agricultural University","https://www.rau.ac.uk/",NA,NA,"Cirencester, United Kingdom",-1.968243,51.718495
"190","United Kingdom","London","The University Foundation Programme",NA,NA,NA,"London, United Kingdom",-0.1275862,51.5072178
"191","United Kingdom","London","University College London",NA,NA,NA,"London, United Kingdom",-0.1275862,51.5072178
"192","United Kingdom","George Town, Cayman Islands","University College of the Cayman Islands",NA,NA,NA,"George Town, Cayman Islands, United Kingdom",-81.3674389,19.2869323
"193","United Kingdom","Aberdeen","University of Aberdeen",NA,NA,NA,"Aberdeen, United Kingdom",-2.0937528,57.1498891
"194","United Kingdom","Bath","University of Bath",NA,NA,NA,"Bath, United Kingdom",-2.3596827,51.3781018
"195","United Kingdom","Birmingham","University of Birmingham",NA,NA,NA,"Birmingham, United Kingdom",-1.890401,52.486243
"196","United Kingdom","Buckingham","University of Buckingham",NA,NA,NA,"Buckingham, United Kingdom",-0.987645,51.999326
"197","United Kingdom","Edinburgh","University of Edinburgh",NA,NA,NA,"Edinburgh, United Kingdom",-3.188267,55.953252
"198","United Kingdom",NA,"University of Glasgow",NA,NA,NA,"NA, United Kingdom",-3.435973,55.378051
"199","United Kingdom","London","University of Greenwich",NA,NA,NA,"London, United Kingdom",-0.1275862,51.5072178
"200","United Kingdom","Canterbury","University of Kent",NA,NA,NA,"Canterbury, United Kingdom",1.0789089,51.280233
"201","United Kingdom","Manchester","University of Manchester",NA,NA,NA,"Manchester, United Kingdom",-2.2426305,53.4807593
"202","United Kingdom","Nottingham","University of Nottingham",NA,NA,NA,"Nottingham, United Kingdom",-1.1549892,52.9540223
"203","United Kingdom","Oxford","University of Oxford",NA,NA,NA,"Oxford, United Kingdom",-1.2577263,51.7520209
"204","United Kingdom","Sheffield","University of Sheffield",NA,NA,NA,"Sheffield, United Kingdom",-1.470085,53.381129
"205","United Kingdom","Pontypridd","University of South Wales",NA,NA,NA,"Pontypridd, United Kingdom",-3.342314,51.600774
"206","United Kingdom","Stirling","University of Stirling",NA,NA,NA,"Stirling, United Kingdom",-3.9369029,56.1165227
"207","United Kingdom","Glasgow","University of Strathclyde",NA,NA,NA,"Glasgow, United Kingdom",-4.251806,55.864237
"208","United Kingdom",NA,"University of Warwick",NA,NA,NA,"NA, United Kingdom",-3.435973,55.378051
"209","United Kingdom","York","University of York",NA,NA,NA,"York, United Kingdom",-1.0739108,53.9614205
